Site	Mine	Location_specif	Location	Stage	Year	Trap	AB	N	S	LAI	OTU6	OTU9	OTU11	OTU14	OTU17	OTU20	OTU21	OTU24	OTU28	OTU29	OTU30	OTU31	OTU32	OTU34	OTU39	OTU41	OTU42	OTU43	OTU46	OTU48	OTU49	OTU50	OTU51	OTU52	OTU54	OTU57	OTU58	OTU60	OTU61	OTU63	OTU64	OTU65	OTU68	OTU75	OTU85	OTU87	OTU88	OTU91	OTU93	OTU95	OTU97	OTU104	OTU113	OTU118	OTU119	OTU121	OTU128	OTU129	OTU131	OTU132	OTU134	OTU136	OTU137	OTU139	OTU143	OTU146	OTU149	OTU154	OTU156	OTU159	OTU160	OTU161	OTU162	OTU164	OTU167	OTU170	OTU173	OTU176	OTU180	OTU181	OTU182	OTU191	OTU192	OTU193	OTU199	OTU201	OTU203	OTU204	OTU205	OTU206	OTU207	OTU213	OTU215	OTU216	OTU217	OTU218	OTU219	OTU220	OTU222	OTU225	OTU226	OTU227	OTU228	OTU230	OTU232	OTU238	OTU244	OTU253	OTU254	OTU255	OTU256	OTU258	OTU261	OTU263	OTU264	OTU272	OTU275	OTU283	OTU288	OTU293	OTU296	OTU303	OTU304	OTU307	OTU308	OTU312	OTU320	OTU321	OTU325	OTU336	OTU343	OTU346	OTU347	OTU365	OTU370	OTU374	OTU378	OTU381	OTU382	OTU383	OTU387	OTU390	OTU392	OTU395	OTU396	OTU402	OTU407	OTU409	OTU413	OTU415	OTU417	OTU428	OTU432	OTU433	OTU445	OTU447	OTU451	OTU458	OTU465	OTU470	OTU471	OTU474	OTU486	OTU493	OTU495	OTU499	OTU508	OTU515	OTU519	OTU524	OTU527	OTU531	OTU536	OTU547	OTU551	OTU553	OTU557	OTU559	OTU563	OTU564	OTU565	OTU566	OTU570	OTU574	OTU581	OTU583	OTU588	OTU590	OTU593	OTU595	OTU596	OTU598	OTU601	OTU603	OTU604	OTU609	OTU611	OTU612	OTU613	OTU616	OTU620	OTU624	OTU626	OTU627	OTU629	OTU634	OTU637	OTU639	OTU640	OTU641	OTU665	OTU666	OTU669	OTU673	OTU674	OTU676	OTU678	OTU691	OTU692	OTU694	OTU695	OTU697	OTU698	OTU699	OTU705	OTU707	OTU708	OTU710	OTU711	OTU718	OTU727	OTU729	OTU733	OTU745	OTU752	OTU766	OTU767	OTU776	OTU778	OTU794	OTU797	OTU805	OTU810	OTU811	OTU814	OTU822	OTU825	OTU829	OTU830	OTU831	OTU834	OTU839	OTU843	OTU846	OTU859	OTU865	OTU868	OTU870	OTU878	OTU881	OTU883	OTU884	OTU889	OTU891	OTU903	OTU934	OTU950	OTU954	OTU959	OTU962	OTU964	OTU973	OTU979	OTU987	OTU1001	OTU1010	OTU1012	OTU1015	OTU1023	OTU1027	OTU1031	OTU1037	OTU1043	OTU1046	OTU1061	OTU1066	OTU1071	OTU1072	OTU1091	OTU1112	OTU1113	OTU1114	OTU1122	OTU1139	OTU1145	OTU1148	OTU1155	OTU1166	OTU1168	OTU1176	OTU1179	OTU1188	OTU1192	OTU1198	OTU1240	OTU1242	OTU1260	OTU1261	OTU1263	OTU1265	OTU1274	OTU1275	OTU1296	OTU1304	OTU1305	OTU1306	OTU1309	OTU1312	OTU1323	OTU1340	OTU1359	OTU1361	OTU1363	OTU1368	OTU1391	OTU1397	OTU1431	OTU1433	OTU1438	OTU1465	OTU1475	OTU1482	OTU1493	OTU1497	OTU1498	OTU1503	OTU1509
X14	Iron	Int_NW2	NW2	WP2_Int	2011	Malaise	131.3650255	16.66666667	6.666666667	2.600999375	20478	5731	0	7254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	784	0	7607	0	0	0	0	0	146	4750	0	1203	0	0	0	0	0	184	3833	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	80	269	0	0	0	1690	0	0	0	0	0	0	384	0	0	0	0	0	161	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1116	0	0	0	153	0	0	936	141	0	0	898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0
X22	Iron	Int1_S4	S4	WP2_Int	2012	Malaise	265.2905217	34.33333333	4	2.844826735	5682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13222	0	0	0	0	208	1278	0	0	0	0	59	0	0	1694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	1314	0	0	89	0	0	0	0	0	0	0	0	603	0	2037	0	0	0	0	0	0	0	0	0	60	0	0	0	45	474	0	0	0	0	0	0	0	0	0	0	0	0	1164	0	0	936	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	221	0	0	182	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
X17	Iron	NR_W	W	WP0_Soil	0	Malaise	0	0	0	0.1753456	4070	0	0	0	0	1544	0	0	0	0	0	0	0	0	0	0	0	0	0	576	0	5670	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0	0	6594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	0	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	1280	0	0	0	0	0	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	262	0	0	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	92	87	0	0	0	0	0	0	0	0	0	0	0	73	0	71	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X24	Iron	Adv_S4	S4	WP3_Adv	2010	Malaise	680.3885506	18	3.666666667	3.438531333	9826	1386	0	111	972	0	0	0	0	0	0	0	0	0	0	0	2292	0	0	412	0	76	0	0	0	0	0	0	95	348	841	0	0	0	0	0	0	0	69	0	0	0	0	97	1037	0	346	0	0	0	0	0	432	0	370	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	137	0	0	40	179	0	0	0	202	0	0	0	0	864	0	0	0	0	0	1365	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	1336	0	0	0	0	0	0	580	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	41	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11	Canga	RC1	N4P2	RefCan	NA	Malaise	791.3900545	16	5	NA	0	16259	0	7257	0	0	0	0	0	9132	3734	0	0	0	10183	0	0	0	0	0	0	4510	334	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	773	0	0	0	0	816	0	0	0	0	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1986	0	0	0	0	0	0	0	89	0	0	0	0	0	0	331	0	0	0	0	0	0	0	1920	0	0	0	0	0	162	0	0	2457	0	0	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	32	0	0	0	0	0	0	0	0	287	0	0	0	413	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X10	Canga	RC2	N4P1	RefCan	NA	Malaise	540.8275205	10	3	NA	0	20856	3078	3908	0	0	1954	0	19214	6126	489	0	0	0	2907	0	0	0	0	153	0	640	592	0	0	0	0	0	0	0	0	0	418	0	0	0	6469	0	0	0	0	230	0	0	2106	0	0	0	0	0	1550	0	0	0	0	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1793	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	0	0	0	0	0	0	0	0	0	0	0	0	437	78	0	0	0	0	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	77	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	101	0	218	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	52	79	0	116	0	0	0	0	45	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
X20	Iron	Adv_W	W	WP3_Adv	2010	Malaise	825.9130426	57.33333333	5.333333333	3.373236394	0	5672	0	0	3985	8437	0	0	0	0	0	0	0	0	0	0	0	0	0	1694	0	0	0	0	3868	0	0	0	0	0	560	0	0	0	1171	2068	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	505	0	0	1924	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	442	0	0	0	0	0	33	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	174	0	0	207	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	239	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	57	0	29	0	28	0	48	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
X23	Iron	Int_S4	S4	WP2_Int	2013	Malaise	94.57910323	18.66666667	5.666666667	0.858586552	0	513	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X21	Iron	Ini_S4	S4	WP1_Ini	2016	Malaise	1.654912666	0.333333333	0.333333333	0.3353188	1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6642	0	0	0	16318	0	0	117	289	2000	7615	0	0	0	0	0	4714	320	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	844	0	0	0	0	0	265	0	0	0	1933	0	0	0	2047	0	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	143	0	0	0	0	0	0	127	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
X18	Iron	Int_W	W	WP2_Int	2012	Malaise	177.9596826	7.666666667	1.666666667	0.995936211	0	0	0	10693	0	7068	0	0	0	0	0	44	3085	0	0	0	0	1029	0	217	0	2136	0	0	0	0	0	0	167	324	604	2103	0	3283	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	1189	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	1345	0	0	0	0	869	0	0	0	0	1786	0	0	1494	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	773	0	0	1160	0	0	0	0	0	0	0	0	0	0	536	0	0	593	0	0	0	0	0	0	107	0	0	0	0	0	0	0	672	0	0	0	347	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
