otu	lineage	X14	X22	X17	X24	X11	X10	X20	X23	X21	X18	X25	X12	X16	X15
OTU6	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	20478	5682	4070	9826	0	0	0	0	1940	0	0	0	0	0
OTU9	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	5731	0	0	1386	16259	20856	5672	513	0	0	0	0	0	0
OTU11	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	3078	0	0	0	0	1312	0	0	0
OTU14	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	7254	0	0	111	7257	3908	0	31	0	10693	0	0	0	0
OTU17	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	972	0	0	3985	0	0	0	0	0	0	0
OTU20	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	1544	0	0	0	8437	0	0	7068	0	0	0	0
OTU21	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	0	0	0	0	1954	0	0	0	0	0	0	0	0
OTU24	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	15328	0	0	0
OTU28	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	0	0	19214	0	0	0	0	2798	0	0	0
OTU29	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	9132	6126	0	0	0	0	0	0	0	0
OTU30	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	3734	489	0	0	0	0	0	30282	0	0
OTU31	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	44	0	0	0	0
OTU32	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	3085	0	13733	0	0
OTU34	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	11947	0
OTU39	r__root;p__Arthropoda;c__Insecta	0	0	0	0	10183	2907	0	0	0	0	0	174	0	0
OTU41	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	13222	0	0	0	0	0	0	0	0	0	0	0	0
OTU42	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	2292	0	0	0	0	0	0	0	0	0	0
OTU43	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Coleophoridae	0	0	0	0	0	0	0	0	0	1029	0	0	0	0
OTU46	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	15500
OTU48	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	306	0	576	412	0	153	1694	0	0	217	0	0	0	2052
OTU49	r__root;p__Arthropoda	0	208	0	0	0	0	0	0	0	0	0	0	0	0
OTU50	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae	784	1278	5670	76	4510	640	0	0	6642	2136	0	0	0	0
OTU51	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	334	592	0	0	0	0	0	16010	0	0
OTU52	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	7607	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU54	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Psychodidae	0	0	0	0	0	0	3868	0	0	0	0	0	0	0
OTU57	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	16318	0	0	0	0	0
OTU58	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	59	0	0	0	0	0	0	0	0	0	0	0	0
OTU60	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	6714	0	0
OTU61	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Rhyparochromidae	0	0	0	95	0	0	0	0	117	167	46	0	0	0
OTU63	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	146	1694	81	348	0	0	0	0	289	324	0	0	0	2334
OTU64	r__root;p__Arthropoda;c__Insecta	4750	0	0	841	0	0	560	0	2000	604	0	0	0	0
OTU65	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	7615	2103	0	0	0	0
OTU68	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	1203	0	0	0	158	418	0	0	0	0	0	0	0	0
OTU75	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	3283	0	0	0	2245
OTU85	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	1171	0	0	0	0	0	0	0
OTU87	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae	0	0	0	0	0	0	2068	0	0	0	0	0	0	0
OTU88	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	6469	0	0	0	0	0	0	0	0
OTU91	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	0	0	0	0	194	0	4714	0	0	0	0	0
OTU93	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae	184	0	744	69	0	0	0	0	320	0	0	0	0	0
OTU95	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	3833	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU97	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	4443	0	0
OTU104	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	773	230	0	0	0	0	0	2588	0	0
OTU113	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	3526	0	0
OTU118	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae	0	0	0	97	0	0	0	0	0	0	0	0	0	2973
OTU119	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	1037	0	2106	0	0	0	0	0	0	0	0
OTU121	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	8737	0	0	0
OTU128	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterophoridae	0	0	6594	346	816	0	0	0	177	518	0	0	0	0
OTU129	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	4918	0	0	0
OTU131	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	270	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU132	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	108	0
OTU134	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	1550	0	0	0	0	0	0	0	0
OTU136	r__root;p__Arthropoda;c__Arachnida;o__Araneae	0	0	0	0	0	0	0	0	0	0	0	2779	0	0
OTU137	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae	0	0	0	432	0	0	0	0	0	1189	0	0	0	0
OTU139	r__root;p__Arthropoda	0	0	0	0	0	0	61	0	0	0	0	0	0	0
OTU143	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	87	0	370	0	0	0	0	844	0	0	0	0	0
OTU146	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	80	1314	0	0	0	0	0	0	0	0	0	2196	0	0
OTU149	r__root;p__Arthropoda;c__Insecta	269	0	0	0	820	1093	0	0	0	0	0	0	0	0
OTU154	r__root;p__Arthropoda;c__Insecta;o__Psocodea	0	0	0	0	0	0	0	0	0	0	0	2496	0	0
OTU156	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae	0	89	0	465	0	0	0	0	0	0	0	0	0	0
OTU159	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae	0	0	0	0	0	0	505	0	0	0	0	0	0	1352
OTU160	r__root;p__Arthropoda;c__Insecta;o__Blattodea	1690	0	0	0	0	0	0	0	265	0	0	0	0	0
OTU161	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	2710	0
OTU162	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	1924	0	0	0	0	0	0	0
OTU164	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hesperiidae	0	0	0	0	0	0	0	0	0	0	0	0	3105	0
OTU167	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	1933	0	389	0	0	0
OTU170	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	42	0	0	0	36
