Site	Mine	Location_specif	Location	Stage	Year	Trap	AB	N	S	LAI	OTU1	OTU2	OTU7	OTU9	OTU11	OTU17	OTU20	OTU21	OTU22	OTU23	OTU25	OTU27	OTU30	OTU32	OTU36	OTU37	OTU38	OTU40	OTU41	OTU42	OTU45	OTU46	OTU49	OTU52	OTU54	OTU55	OTU58	OTU60	OTU65	OTU68	OTU72	OTU73	OTU75	OTU77	OTU78	OTU79	OTU80	OTU83	OTU85	OTU87	OTU88	OTU91	OTU94	OTU97	OTU98	OTU99	OTU102	OTU105	OTU108	OTU110	OTU111	OTU113	OTU114	OTU116	OTU123	OTU125	OTU129	OTU131	OTU157	OTU158	OTU162	OTU168	OTU182	OTU184	OTU186	OTU187	OTU188	OTU191	OTU193	OTU197	OTU200	OTU201	OTU202	OTU206	OTU209	OTU211	OTU221	OTU241	OTU244	OTU250	OTU251	OTU252	OTU255	OTU261	OTU268	OTU270	OTU289	OTU299	OTU303	OTU309	OTU310	OTU312	OTU315	OTU320	OTU331	OTU333	OTU339	OTU341	OTU343	OTU349	OTU351	OTU359	OTU366	OTU371	OTU383	OTU384	OTU386	OTU387	OTU398	OTU404	OTU408	OTU412	OTU428	OTU432	OTU449	OTU454	OTU463	OTU466	OTU467	OTU469	OTU470	OTU471	OTU489	OTU490	OTU492	OTU496	OTU514	OTU522	OTU524	OTU553	OTU558	OTU559	OTU574	OTU576	OTU581	OTU596	OTU607	OTU609	OTU612	OTU621	OTU624	OTU636	OTU639	OTU661	OTU663	OTU672	OTU679	OTU706	OTU708	OTU713	OTU732	OTU749	OTU773	OTU784	OTU828	OTU842	OTU848	OTU850	OTU861	OTU862	OTU867	OTU881	OTU902	OTU906	OTU909	OTU915	OTU923	OTU940	OTU953	OTU995	OTU1002	OTU1008	OTU1030	OTU1044	OTU1060	OTU1085	OTU1086	OTU1108	OTU1132	OTU1135	OTU1180	OTU1184	OTU1199	OTU1230	OTU1260	OTU1273	OTU1278	OTU1313	OTU1336	OTU1372	OTU1416	OTU1431	OTU1480	OTU1532	OTU1538	OTU1595	OTU1604	OTU1663	OTU1701	OTU1781	OTU1803	OTU1821	OTU1834	OTU1882
X14	Iron	Int_NW2	NW2	WP2_Int	2011	Malaise	131.3650255	16.66666667	6.666666667	2.600999375	27148	43727	0	0	0	8753	8798	0	0	0	0	0	0	4480	0	0	8412	0	0	0	0	249	269	0	0	598	0	0	54	39	354	0	0	440	0	0	1328	4395	0	0	0	4145	494	0	0	0	0	0	0	0	74	0	0	55	0	0	4582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0	0	0	0	241	0	0	0	0	0	201	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0
X24	Iron	Adv_S4	S4	WP3_Adv	2010	Malaise	680.3885506	18	3.666666667	3.438531333	10982	23766	0	0	0	195	171	0	0	0	0	0	0	1297	991	95	1340	90	0	1441	0	0	0	0	0	1316	0	1054	0	0	154	0	0	119	2015	0	703	0	0	0	1669	0	556	0	0	0	0	0	0	1988	0	0	0	0	0	0	0	322	0	0	0	0	0	3154	0	0	0	0	0	0	0	0	0	0	640	3203	0	0	0	0	621	4512	50	0	45	0	0	285	0	245	0	1023	0	0	0	0	0	0	0	915	0	0	0	0	221	0	0	0	0	0	0	0	1005	0	808	0	780	0	0	0	0	0	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X22	Iron	Int1_S4	S4	WP2_Int	2012	Malaise	265.2905217	34.33333333	4	2.844826735	8761	9683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6299	33049	89	0	0	749	0	0	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	4771	0	162	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2353	8417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0
X17	Iron	NR_W	W	WP0_Soil	0	Malaise	0	0	0	0.1753456	4246	19206	0	0	0	0	0	0	0	0	7156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	16986	0	0	4335	0	0	4533	0	0	1236	0	0	0	0	0	961	0	0	0	0	0	0	0	578	0	0	534	0	10581	0	0	0	0	0	0	912	0	2504	872	2440	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1056	0	0	0	1077	0	0	0	1976	0	0	2682	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	50	0	0	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X21	Iron	Ini_S4	S4	WP1_Ini	2016	Malaise	1.654912666	0.333333333	0.333333333	0.3353188	2883	8312	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	117	0	0	58580	0	0	0	0	2099	0	1915	14051	27631	2903	0	0	2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	219	0	0	0	0	0	0	4620	0	2338	0	0	3011	0	4857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1147	1538	1029	1556	0	0	0	48	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0
X13	Iron	Ini_NW2	NW2	WP1_Ini	2016	Malaise	26.89021997	1.666666667	0.666666667	0.456783033	148	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0
X19	Iron	Int1_W	W	WP2_Int	2012	Malaise	123.1827488	11	5	2.438430667	0	51	0	0	0	543	1134	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	48	0	0	0	254	0	0	161	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	27	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X18	Iron	Int2_W	W	WP2_Int	2012	Malaise	177.9596826	7.666666667	1.666666667	0.995936211	0	0	307	321	0	18452	19974	0	0	0	17649	0	0	0	0	112	0	124	0	0	10654	0	0	19683	0	1575	0	3618	0	0	1088	0	0	1008	5066	0	530	0	0	0	4924	0	324	0	0	0	0	0	0	5335	0	0	0	0	0	0	0	0	0	0	0	0	523	0	760	447	714	0	6158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1191	0	1064	0	0	0	0	0	0	2397	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	563	0	0	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X25	Iron	RF_S4	S4	RefFor	NA	Malaise	1742.614594	25.33333333	20	5.744420667	0	0	0	0	90211	0	0	0	2502	0	0	5364	0	0	0	66	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11657	0	0	2854	0	0	0	0	11923	0	0	0	0	0	2887	0	0	1103	0	0	0	0	0	0	0	0	3144	0	0	0	0	0	0	3556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0	653	0	0	0	0	0	0	0	0	0	41	27	0	25	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	107	78	0	0	0	0	0	0
X11	N4P2	RC1	N4P2	RefCan	NA	Malaise	791.3900545	16	5	NA	0	0	0	0	0	6790	10349	740	0	587	0	0	0	7714	0	0	13191	0	0	0	0	0	0	0	0	0	0	2883	0	0	1466	0	0	4162	0	0	0	2674	0	0	0	5401	0	0	0	0	0	8581	8656	0	0	0	0	0	0	0	0	0	0	1123	0	4294	0	0	0	0	0	859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2008	2217	0	0	0	0	0	0	2212	0	0	0	0	0	0	67	0	0	543	0	0	74	0	0	0	0	449	34	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	58	142	0	450	523	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X10	N4P1	RC2	N4P1	RefCan	NA	Malaise	540.8275205	10	3	NA	0	0	0	0	0	1994	6246	1615	2456	1073	0	6915	0	1889	0	0	15707	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	252	0	0	280	448	212	1104	0	3293	79	9745	0	0	9607	1497	1182	0	0	0	0	0	8179	0	0	0	0	224	0	1263	0	0	0	0	0	0	0	0	0	0	0	0	0	1741	0	0	3943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	138	0	0	0	111	1444	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	364	545	0	0	0	0	0	615	302	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	100	0	0	0	0	0	0	0	0	0	0
