OTU_id	lineage	X14	X24	X22	X17	X21	X13	X19	X18	X25	X11	X10	X12	X20	X16	X23	X15
OTU1	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	27148	10982	8761	4246	2883	148	0	0	0	0	0	0	0	0	0	0
OTU2	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	43727	23766	9683	19206	8312	154	51	0	0	0	0	0	0	0	0	0
OTU5	r__root;p__Arthropoda;c__Insecta;o__Orthoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU7	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0
OTU8	r__root;p__Arthropoda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU9	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0
OTU11	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Euteliidae	0	0	0	0	0	0	0	0	90211	0	0	0	0	0	0	0
OTU13	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU17	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	8753	195	0	0	0	0	543	18452	0	6790	1994	0	0	0	0	0
OTU20	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	8798	171	0	0	0	0	1134	19974	0	10349	6246	0	0	0	0	0
OTU21	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae	0	0	0	0	0	0	0	0	0	740	1615	26908	0	0	0	0
OTU22	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	2502	0	2456	0	0	0	0	0
OTU23	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae	0	0	0	0	0	0	0	0	0	587	1073	25249	0	0	0	0
OTU25	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	7156	0	0	185	17649	0	0	0	0	15950	0	0	0
OTU27	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	5364	0	6915	0	0	0	0	0
OTU30	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0
OTU32	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae	4480	1297	0	0	0	0	0	0	0	7714	1889	0	4733	0	1041	0
OTU36	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	991	0	0	0	0	0	0	0	0	0	0	5588	0	0	0
OTU37	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Rhyparochromidae	0	95	0	0	101	0	0	112	66	0	0	0	0	0	0	0
OTU38	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae	8412	1340	0	0	0	0	0	0	0	13191	15707	0	11998	0	3129	0
OTU40	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Rhyparochromidae	0	90	0	0	117	0	0	124	52	0	0	0	0	0	0	0
OTU41	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	44543	0	0
OTU42	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	1441	0	0	0	0	0	0	0	0	0	0	7964	0	0	0
OTU45	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	58580	0	0	10654	0	0	0	0	0	0	0	0
OTU46	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU49	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU52	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	19683	0	0	0	0	0	0	123	10486
OTU54	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38364
OTU55	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	598	1316	6299	318	2099	0	0	1575	0	0	0	0	0	0	81	13415
OTU58	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	33049	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU60	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterophoridae	0	1054	89	16986	1915	0	0	3618	0	2883	0	0	0	0	0	0
OTU65	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	54	0	0	0	14051	0	0	0	0	0	0	0	0	0	0	0
OTU68	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	39	0	0	0	27631	0	0	0	0	0	0	0	0	0	0	0
OTU69	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU72	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae	354	154	749	4335	2903	0	0	1088	0	1466	579	0	0	0	0	0
OTU73	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	0	0	0	11262	0	0	0
OTU75	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	13457	0	0	0
OTU77	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae	440	119	870	4533	2792	32	0	1008	0	4162	252	0	0	0	0	0
OTU78	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae	0	2015	0	0	0	0	233	5066	0	0	0	10541	0	0	0	0
OTU79	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	7436	0	0	0
OTU80	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	1328	703	0	1236	0	0	48	530	0	0	280	0	4284	0	0	9129
OTU83	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	4395	0	0	0	0	0	0	0	0	2674	448	0	0	0	0	0
OTU85	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	0	0	0	0	0	0	0	0	0	212	0	0	0	78	0
OTU87	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	0	0	0	0	0	0	0	0	0	1104	0	0	0	61	0
OTU88	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae	0	1669	0	0	0	0	254	4924	0	0	0	5112	0	0	0	0
OTU91	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	4145	0	0	0	0	0	0	0	0	5401	3293	0	0	0	0	0
OTU94	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	494	556	0	961	0	0	0	324	0	0	79	0	1376	0	0	3902
OTU97	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	161	0	11657	0	9745	0	0	0	0	0
OTU98	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884	0
OTU99	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0
OTU102	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	177	0	2854	0	9607	0	0	0	0	0
OTU105	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	0	0	0	0	0	0	8581	1497	75	0	0	0	0
OTU108	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	0	0	0	0	0	0	0	0	8656	1182	0	0	0	0	0
OTU110	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	1988	0	0	0	0	0	5335	0	0	0	0	0	0	0	0
OTU111	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae	74	0	0	578	193	0	0	0	0	0	0	0	0	0	0	0
OTU113	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae	0	0	0	0	0	0	0	0	11923	0	0	0	0	0	0	0
OTU114	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Psychodidae	0	0	0	0	0	0	0	0	0	0	0	0	7776	0	0	0
OTU116	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae	55	0	0	534	219	0	0	0	0	0	0	0	0	0	0	0
OTU123	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	0	0	0	0	0	0	0	8179	0	0	0	0	0
OTU125	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Arctiidae	0	0	0	10581	0	0	0	0	0	0	0	0	0	0	0	0
OTU129	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae	4582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU131	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	322	0	0	0	0	0	0	2887	0	0	0	0	19010	0	0
OTU137	r__root;p__Arthropoda;c__Arachnida;o__Araneae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU145	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU157	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6951
OTU158	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	1123	224	3759	0	0	0	0
