Site	Mine	Location_specif	Location	Stage	Year	Trap	AB	N	S	LAI	OTU2	OTU3	OTU6	OTU9	OTU11	OTU12	OTU14	OTU15	OTU17	OTU19	OTU21	OTU23	OTU24	OTU25	OTU32	OTU35	OTU36	OTU42	OTU44	OTU45	OTU47	OTU49	OTU51	OTU55	OTU58	OTU59	OTU67	OTU68	OTU69	OTU70	OTU74	OTU75	OTU76	OTU77	OTU81	OTU82	OTU84	OTU87	OTU88	OTU89	OTU90	OTU92	OTU98	OTU99	OTU101	OTU102	OTU111	OTU112	OTU116	OTU123	OTU125	OTU129	OTU131	OTU135	OTU141	OTU147	OTU148	OTU149	OTU152	OTU159	OTU160	OTU161	OTU163	OTU168	OTU171	OTU172	OTU179	OTU180	OTU182	OTU192	OTU198	OTU200	OTU201	OTU204	OTU205	OTU206	OTU212	OTU215	OTU216	OTU224	OTU225	OTU226	OTU227	OTU228	OTU229	OTU230	OTU236	OTU237	OTU241	OTU242	OTU244	OTU251	OTU253	OTU254	OTU258	OTU259	OTU260	OTU262	OTU264	OTU271	OTU272	OTU277	OTU278	OTU281	OTU283	OTU285	OTU290	OTU294	OTU295	OTU300	OTU304	OTU305	OTU311	OTU315	OTU317	OTU318	OTU319	OTU321	OTU323	OTU324	OTU327	OTU332	OTU333	OTU337	OTU339	OTU344	OTU349	OTU351	OTU359	OTU360	OTU362	OTU364	OTU368	OTU371	OTU372	OTU376	OTU378	OTU384	OTU386	OTU388	OTU400	OTU402	OTU407	OTU413	OTU416	OTU421	OTU425	OTU426	OTU429	OTU438	OTU441	OTU451	OTU452	OTU459	OTU461	OTU470	OTU476	OTU478	OTU479	OTU480	OTU485	OTU494	OTU497	OTU502	OTU505	OTU511	OTU512	OTU515	OTU517	OTU518	OTU519	OTU520	OTU524	OTU526	OTU527	OTU530	OTU531	OTU534	OTU541	OTU546	OTU548	OTU549	OTU552	OTU553	OTU554	OTU558	OTU559	OTU569	OTU570	OTU580	OTU596	OTU598	OTU600	OTU609	OTU610	OTU612	OTU613	OTU619	OTU641	OTU643	OTU645	OTU646	OTU651	OTU656	OTU657	OTU659	OTU661	OTU666	OTU673	OTU678	OTU684	OTU690	OTU702	OTU705	OTU715	OTU727	OTU732	OTU736	OTU740	OTU742	OTU743	OTU754	OTU755	OTU761	OTU765	OTU768	OTU769	OTU771	OTU774	OTU779	OTU782	OTU790	OTU792	OTU795
X12	N4P4	RC3	N4P4	RefCan	NA	Malaise	0	0	0	NA	1036	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467	457	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	718	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
X11	N4P2	RC1	N4P2	RefCan	NA	Malaise	791.3900545	16	5	NA	12839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3807	0	0	0	970	0	0	0	0	0	0	0	122	1070	585	0	0	0	0	997	0	0	0	0	0	0	310	0	0	0	0	0	0	0	190	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X10	N4P1	RC2	N4P1	RefCan	NA	Malaise	540.8275205	10	3	NA	15994	0	0	0	0	0	39	583	0	0	0	0	0	0	0	0	2756	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1513	0	0	0	0	0	799	0	372	0	372	0	0	0	0	372	0	0	0	0	0	0	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620	81	0	0	460	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	218	0	179	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	35	34	0	0	0	0	0	30	0	0	0	0	0	0	0
X14	Iron	Int1_S4	S4	WP2_Int	2012	Malaise	265.2905217	34.33333333	4	2.844826735	2530	0	0	0	0	0	1664	0	0	0	0	0	0	0	0	336	0	33	88	0	0	400	3117	0	0	1890	0	0	946	0	0	0	0	0	0	0	322	0	1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	0	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1295	0	0	0	0	0	0	0	0	0	72	0	32	884	0	0	0	364	0	30	0	0	0	0	0	0	0	0	217	0	410	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	53	0	0	0	102	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	38	0	0	35	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
X17	Iron	RF_S4	S4	RefFor	NA	Malaise	1742.614594	25.33333333	20	5.744420667	0	9857	0	0	0	0	0	0	722	0	0	314	0	0	0	0	0	0	0	1156	0	0	0	0	0	0	0	0	0	0	265	0	0	4998	0	0	0	0	0	0	420	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	56	890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	62	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X15	Iron	Int2_S4	S4	WP2_Int	2013	Malaise	94.57910323	18.66666667	5.666666667	0.858586552	0	0	0	0	0	9854	0	1528	0	2565	0	0	0	0	2266	0	469	0	0	1362	0	0	0	434	0	862	0	0	0	0	0	0	0	0	0	0	1144	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	91	0	0	0	0	466	0	0	0	0	0	0	284	0	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X16	Iron	Adv_S4	S4	WP3_Adv	2010	Malaise	680.3885506	18	3.666666667	3.438531333	0	0	0	0	0	0	903	3781	4297	0	0	3753	0	0	0	0	0	2889	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	272	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	250	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	178	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X13	Iron	Ini_S4	S4	WP1_Ini	2016	Malaise	1.654912666	0.333333333	0.333333333	0.3353188	1667	0	0	0	0	0	736	680	0	1343	0	1210	0	0	6259	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	308	0	0	0	0	0	156	0	190	0	0	0	0	0	0	0	0	0	0	0	958	0	0	0	0	149	0	0	0	0	0	0	0	0	0	307	0	433	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	717	0	0	0	178	0	89	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	53	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
X24	Iron	Int_NW2	NW2	WP2_Int	2011	Malaise	131.3650255	16.66666667	6.666666667	2.600999375	0	1594	0	0	0	0	0	1442	0	0	0	0	37	0	0	117	0	0	0	0	0	3528	0	0	0	0	0	0	0	0	0	4328	0	0	0	0	1733	0	0	0	0	0	0	0	1259	0	0	0	0	0	0	0	182	0	0	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	292	0	0	0	0	0	220	0	0	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	135	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	96	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	79	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	52	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
X26	Iron	RF_NW2	NW2	RefFor	NA	Malaise	2058.940385	34.16666667	20.5	5.623688	0	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	133	0	1921	0	546	0	0	3127	2376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583	911	0	0	0	0	0	0	0	0	0	0	0	3680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	39	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	238	0	234	0	0	0	0	0	0	0	0	0	195	0	184	0	0	0	0	0	172	0	0	0	0	0	147	145	0	0	0	0	130	0	210	0	0	163	0	111	0	0	0	0	105	0	0	0	0	93	117	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	76	0	0	0	0	0	0	62	0	0	60	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
