OTU	lineage	X12	X11	X10	X14	X17	X15	X16	X13	X24	X26	X23	X25	X18	X20	X19	X21
OTU2	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	1036	12839	15994	2530	0	0	0	1667	0	0	0	0	193	146	0	0
OTU3	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	9857	0	0	0	1594	590	0	0	0	0	0	0
OTU6	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	0	160	0	0	0	8169	0
OTU9	r__root;p__Arthropoda;c__Insecta;o__Orthoptera	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0
OTU10	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
OTU12	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	9854	0	0	0	0	0	0	0	123	0	0
OTU14	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae	0	0	39	1664	0	0	903	736	0	0	0	0	3682	1129	695	304
OTU15	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	583	0	0	1528	3781	680	1442	0	276	0	1319	0	0	3707
OTU16	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU17	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	722	0	4297	0	0	0	0	0	0	0	0	1356
OTU19	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	0	0	2565	0	1343	0	0	0	0	1646	0	1692	0
OTU21	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU23	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	314	0	3753	1210	0	0	0	806	0	179	0	0
OTU24	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0
OTU25	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	4659	0	0	0	0
OTU26	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU30	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Stratiomyidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU32	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	2266	0	6259	0	0	0	0	0	0	914	0
OTU33	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chloropidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU34	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU35	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	336	0	0	0	0	117	0	0	0	43	0	4447	363
OTU36	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	428	2756	0	0	469	0	0	0	0	0	0	0	0	621	0
OTU37	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU38	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU39	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU42	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	33	0	0	2889	0	0	0	0	0	0	0	0	0
OTU43	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU44	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae	0	0	0	88	0	0	0	169	0	0	0	0	0	0	63	0
OTU45	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	1156	1362	0	0	0	0	0	0	0	0	0	0
OTU47	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	377	0	0	0	0	0	0	30	63	0
OTU48	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU49	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	476	400	0	0	0	0	3528	0	0	0	0	0	0	0
OTU51	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	3117	0	0	0	0	0	0	0	0	0	2699	0	0
OTU53	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU55	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	434	0	0	0	0	0	0	0	132	2193	0
OTU58	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Uraniidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3294
OTU59	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	1890	0	862	0	0	0	0	0	0	0	0	0	0
OTU61	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU62	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU63	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Platystomatidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU65	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	1749	0	0	0	0	0	0
OTU68	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0
OTU69	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	0	946	0	0	0	0	0	0	0	0	0	0	71	929
OTU70	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	1921	0	0	0	0	0	0
OTU74	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0
OTU75	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	4328	546	0	0	0	0	0	0
OTU76	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Hesperiidae	0	0	0	0	0	0	0	0	0	0	0	2952	0	0	0	0
OTU77	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	4998	0	0	0	0	0	0	0	0	0	0	0
OTU79	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU81	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	3127	0	0	0	0	0	0
OTU82	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae	0	0	0	0	0	0	0	0	0	2376	0	0	0	0	0	0
OTU83	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	322	0	1144	0	0	1733	0	0	1504	0	860	0	0
OTU87	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	3807	0	0	0	727	0	0	0	0	0	0	0	0	0	0
OTU88	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	1228	0	0	0	281	0	0	0	0	0	0	0	0
OTU89	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2183
OTU90	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0
OTU92	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	970	1513	0	0	0	0	0	0	0	0	0	0	0	0	229
OTU93	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU94	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU98	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	2267	0	0	0	0	0	0	55	0	0
OTU99	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602
OTU101	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	1259	0	0	2245	0	0	0	0
OTU102	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Formicidae	0	0	0	0	33	0	0	0	0	0	0	26	0	0	0	0
OTU103	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
