Site	Mine	Location_specif	Location	Stage	Year	Trap	AB	N	S	LAI	OTU3	OTU4	OTU13	OTU14	OTU17	OTU18	OTU22	OTU25	OTU33	OTU35	OTU36	OTU37	OTU38	OTU45	OTU46	OTU47	OTU56	OTU58	OTU59	OTU60	OTU63	OTU64	OTU67	OTU68	OTU70	OTU71	OTU72	OTU74	OTU77	OTU82	OTU83	OTU85	OTU86	OTU87	OTU88	OTU90	OTU91	OTU92	OTU96	OTU98	OTU100	OTU102	OTU104	OTU110	OTU118	OTU121	OTU122	OTU128	OTU131	OTU136	OTU138	OTU141	OTU142	OTU145	OTU146	OTU149	OTU150	OTU160	OTU162	OTU165	OTU167	OTU169	OTU182	OTU183	OTU187	OTU191	OTU193	OTU194	OTU195	OTU198	OTU199	OTU204	OTU209	OTU211	OTU217	OTU224	OTU227	OTU228	OTU230	OTU231	OTU236	OTU237	OTU239	OTU241	OTU246	OTU251	OTU257	OTU267	OTU268	OTU274	OTU276	OTU280	OTU291	OTU293	OTU294	OTU302	OTU303	OTU306	OTU313	OTU315	OTU321	OTU324	OTU326	OTU327	OTU332	OTU339	OTU341	OTU343	OTU346	OTU352	OTU355	OTU356	OTU357	OTU360	OTU367	OTU376	OTU386	OTU390	OTU391	OTU396	OTU404	OTU414	OTU418	OTU419	OTU423	OTU425	OTU428	OTU432	OTU441	OTU442	OTU447	OTU457	OTU460	OTU464	OTU466	OTU469	OTU471	OTU476	OTU477	OTU480	OTU481	OTU486	OTU490	OTU496	OTU498	OTU506	OTU507	OTU524	OTU527	OTU531	OTU533	OTU542	OTU552	OTU574	OTU583	OTU584	OTU594	OTU596	OTU597	OTU601	OTU606	OTU613	OTU621	OTU633	OTU634	OTU646	OTU647	OTU652	OTU657	OTU658	OTU661	OTU668	OTU682	OTU692	OTU698	OTU711	OTU713	OTU725	OTU727	OTU730	OTU747	OTU750	OTU754	OTU760	OTU763	OTU768	OTU771	OTU776	OTU783	OTU788	OTU796	OTU809	OTU815	OTU829	OTU842	OTU843	OTU861	OTU866	OTU876	OTU880	OTU885	OTU889	OTU920	OTU927	OTU934	OTU944	OTU951	OTU961	OTU962	OTU970	OTU972	OTU973	OTU981	OTU1001	OTU1006	OTU1023	OTU1056	OTU1069	OTU1086	OTU1090	OTU1100	OTU1106	OTU1107	OTU1111	OTU1118	OTU1121	OTU1122	OTU1125	OTU1130	OTU1148	OTU1160	OTU1161	OTU1168	OTU1171	OTU1181	OTU1187	OTU1192	OTU1202	OTU1203	OTU1250	OTU1266	OTU1282	OTU1323	OTU1328	OTU1337	OTU1343	OTU1393	OTU1410	OTU1419	OTU1426	OTU1433
X11	N4P2	RC1	N4P2	RefCan	NA	Malaise	791.3900545	16	5	NA	23020	45075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	68	0	0	2685	0	2703	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	856	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1694	0	2214	3636	0	0	0	454	0	0	0	0	0	0	189	1259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
X10	N4P1	RC2	N4P1	RefCan	NA	Malaise	540.8275205	10	3	NA	13119	17962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	485	0	0	0	0	0	0	2051	0	1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3061	0	0	0	0	0	0	0	0	0	0	0	1643	0	0	0	0	0	5273	0	0	0	0	0	0	0	0	357	0	303	0	0	0	0	600	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	0	0	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	151	0	0	0	128	0	0	0	0	0	0	0	60	0	105	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X14	Iron	Int1_S4	S4	WP2_Int	2012	Malaise	265.2905217	34.33333333	4	2.844826735	2173	4377	0	0	0	0	761	2517	0	0	0	71	0	0	0	0	1057	671	0	0	0	0	0	0	0	0	0	0	0	0	0	2795	0	0	0	0	0	0	0	0	3012	0	0	0	0	2450	2112	2653	1313	1257	2392	38	0	0	47	0	248	47	955	0	1043	0	293	132	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	176	437	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	489	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	116	0	0	0	105	0	0	0	105	0	0	0	0	0	0	0	0	0	99	0	87	0	0	73	0	0	0	0	0	0	0	0
X13	Iron	Ini_S4	S4	WP1_Ini	2016	Malaise	1.654912666	0.333333333	0.333333333	0.3353188	1802	2402	0	0	0	0	418	951	0	0	0	0	0	0	0	0	0	0	1211	3919	0	0	0	0	0	0	0	0	5922	4977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1785	747	853	232	254	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1167	405	293	0	0	0	1312	0	0	1100	0	0	426	0	1128	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	1209	117	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	335	0	0	132	0	105	0	0	0	0	95	139	0	60	116	0	0	63	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	46	0	81	41	0	0	0	0	0	0	0	0	0
X18	Iron	NR_W	W	WP0_Soil	0	Malaise	0	0	0	0.1753456	680	1847	0	0	0	0	12592	16352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1687	0	0	0	1025	0	0	0	0	0	0	0	0	0	0	773	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	85	0	308	1103	1070	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	27	130	0	0	0	0	0	0	0	0	500	0	0	0	0	0	146	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1079	0	0	30	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	176	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	159	0	0	0	0	53	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
X12	N4P4	RC3	N4P4	RefCan	NA	Malaise	0	0	0	NA	557	2355	763	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	44	517	214	0	0	0	0	0	0	0	0	0	0	0	0	227	0	151	0	0	0	1536	0	0	0	209	442	0	2020	0	0	1329	0	0	0	0	0	4228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	0	0	0	0	0	2340	0	0	0	0	816	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	389	0	217	0	0	0	0	526	0	260	393	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	267	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X20	Iron	Int1_W	W	WP2_Int	2011	Malaise	123.1827488	11	5	2.438430667	125	477	0	0	0	0	1577	4437	0	0	0	71	269	99	81	0	0	0	939	247	0	0	0	0	0	77	0	68	0	0	757	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	45	0	0	0	0	0	121	59	0	0	0	0	0	0	0	0	0	0	324	3156	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	4537	0	0	2505	0	155	0	0	0	42	0	0	0	1414	0	44	0	0	0	29	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	799	0	0	0	48	0	0	0	34	0	0	1391	0	0	0	0	0	0	39	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	0	0
X17	Iron	RF_S4	S4	RefFor	NA	Malaise	1742.614594	25.33333333	20	5.744420667	0	0	0	0	8739	20710	0	0	0	653	791	0	0	0	0	0	0	0	304	265	913	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5352	0	0	0	0	0	0	0	187	162	0	0	173	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	67	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X24	Iron	Int_NW2	NW2	WP2_Int	2011	Malaise	131.3650255	16.66666667	6.666666667	2.600999375	0	0	0	0	2357	10601	0	0	0	0	0	0	0	0	0	9539	4828	4699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2176	0	0	0	0	2147	0	0	4039	3114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	194	0	0	0	176	0	399	0	392	0	0	0	0	0	0	0	0	55	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0	34	27	34	0	0	0	50	0	87	0	26	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	37	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
X26	Iron	RF_NW2	NW2	RefFor	NA	Malaise	2058.940385	34.16666667	20.5	5.623688	0	0	0	0	909	1635	0	0	0	0	0	0	0	0	0	4329	0	0	0	0	0	0	3973	4350	0	0	0	0	0	0	0	0	11570	9400	0	0	6513	0	0	80	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3674	0	0	0	0	3959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	513	0	0	0	0	0	0	54	0	0	0	0	0	0	0	57	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0	142	0	135	0	0	0	0	0	0	164	0	0	0	0	0	252	0	199	0	0	0	0	0	0	0	179	0	0	0	0	0	0	104	104	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
