OTU_id	lineage	X11	X10	X14	X13	X18	X12	X20	X17	X24	X26	X19	X21	X25	X16	X23	X15
OTU1	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	23020	13119	2173	1802	680	557	125	0	0	0	0	0	0	0	0	0
OTU4	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	45075	17962	4377	2402	1847	2355	477	0	0	0	0	0	0	0	0	0
OTU9	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU10	r__root;p__Arthropoda;c__Insecta;o__Orthoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU11	r__root;p__Arthropoda;c__Insecta;o__Orthoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU12	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU13	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	0	0	0	0	0	763	0	0	0	0	0	0	0	0	0	0
OTU14	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	0	0	0	0	0	782	0	0	0	0	0	0	0	0	0	0
OTU15	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU16	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU17	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	8739	2357	909	0	0	0	0	0	0
OTU18	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	20710	10601	1635	0	0	0	0	0	0
OTU19	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU21	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU22	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae	0	0	761	418	12592	0	1577	0	0	0	370	170	0	693	0	0
OTU24	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU25	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae	0	0	2517	951	16352	0	4437	0	0	0	1112	440	0	699	0	0
OTU26	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU27	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU28	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU33	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	38751	0	0	0
OTU35	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	653	0	0	0	11999	0	10152	0	0
OTU36	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	791	0	0	0	4076	0	6666	0	0
OTU37	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	71	0	0	0	71	0	0	0	13445	0	0	0	1099	611
OTU38	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	269	0	0	0	8361	0	0	0	460	442
OTU40	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU43	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU44	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU45	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	99	0	0	0	69	0	0	393	0	0
OTU46	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	81	0	0	0	54	0	0	371	0	0
OTU47	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	9539	4329	0	0	0	0	0	0
OTU51	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Nitidulidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU53	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU56	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	518	1057	0	0	0	0	0	4828	0	0	0	0	0	0	0
OTU58	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	485	671	0	0	0	0	0	4699	0	0	0	0	0	0	0
OTU59	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	1211	0	0	939	304	0	0	0	0	8113	1542	0	0
OTU60	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	3919	0	0	247	265	0	0	0	0	2466	934	0	0
OTU62	r__root;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU63	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	62	0	0	0	0	0	0	913	0	0	0	0	0	0	0	3120
OTU64	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	68	0	0	0	0	0	0	729	0	0	0	0	0	0	0	834
OTU66	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	3973	0	0	0	0	0	278
OTU68	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	4350	0	0	0	0	0	225
OTU69	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU70	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	2685	2051	0	0	0	0	0	0	0	0	0	609	0	0	0	0
OTU71	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	4276
OTU72	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	2703	1626	0	0	0	0	0	0	0	0	0	351	0	0	0	0
OTU74	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	4538
OTU77	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	5922	0	0	0	0	0	0	229	0	0	0	0	943
OTU78	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU82	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	4977	0	0	0	0	0	0	245	0	0	0	0	752
OTU83	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	0	0	0	0	1687	0	757	0	0	0	0	2163	0	0	0	382
OTU85	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	156	0	2795	0	0	0	0	0	0	0	0	0	0	0	0	1693
OTU86	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	11570	0	0	0	0	381	0
OTU87	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lecithoceridae	0	0	0	0	0	0	0	0	0	9400	0	0	0	0	0	0
OTU88	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	0	0	0	0	1025	0	642	0	0	0	0	1796	0	0	0	357
OTU90	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Uraniidae	0	0	0	0	0	0	0	0	0	0	0	7340	0	0	0	0
OTU91	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae	0	0	0	0	0	0	0	0	0	6513	0	0	0	0	0	0
OTU92	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	2176	0	0	0	4169	0	0	0
OTU96	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
OTU98	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0
OTU100	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	3012	0	0	0	0	0	0	0	0	0	0	0	0	816
OTU102	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
OTU104	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	2147	0	0	0	17048	0	0	0
OTU105	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU110	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	856	3061	0	0	0	52	0	0	0	0	254	0	0	0	0	435
OTU112	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU114	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU115	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU116	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU118	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Oecophoridae	0	0	0	0	0	0	0	5352	0	0	0	0	0	0	0	0
OTU121	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	2450	1785	773	0	0	0	4039	0	0	0	0	0	0	0
OTU122	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	2112	747	514	0	0	0	3114	0	0	0	0	0	0	0
OTU127	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU128	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	2653	853	0	0	58	0	0	0	0	0	0	0	54	0
OTU129	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU131	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	1313	232	0	0	0	0	0	0	0	0	0	0	0	0
OTU133	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU136	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	1257	254	0	0	0	0	0	0	0	0	0	0	0	0
OTU138	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	2392	604	0	0	45	0	0	0	0	0	0	0	58	0
OTU139	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU140	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	5337	0	0	0	0	0	0
OTU141	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	38	0	0	0	0	0	0	0	0	0	0	2311	0	0
OTU142	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0
OTU145	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0
OTU146	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	47	0	0	0	0	0	0	0	0	0	0	2277	0	0
OTU149	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	517	1643	0	0	0	44	0	0	0	0	302	0	0	0	0	271
OTU150	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae	0	0	248	0	0	517	121	173	0	0	0	2182	0	0	0	595
OTU160	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae	0	0	47	0	0	214	59	175	0	0	0	1178	0	0	0	705
OTU162	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	955	0	0	0	0	0	0	0	42	1203	0	0	0	0
OTU165	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	3674	0	0	0	0	0	0
OTU167	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae	0	0	1043	0	0	0	0	0	0	0	0	1140	0	0	0	0
OTU169	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	5273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU180	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU181	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU182	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	293	0	144	0	0	0	67	0	2138	159	0	0	0	0
OTU183	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	132	0	85	0	0	0	63	0	2051	156	0	0	0	0
OTU184	r__root;p__Arthropoda;c__Collembola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU187	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae	0	0	0	0	0	0	0	0	0	3959	0	0	0	0	0	0
OTU191	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	0	1167	308	0	0	0	0	0	0	0	0	0	0	0
OTU193	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	405	1103	0	0	0	0	0	0	0	0	0	0	0
OTU194	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	293	1070	0	0	0	0	0	0	0	0	0	0	0
OTU195	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	324	0	0	0	2326	0	0	0	0	332
OTU197	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU198	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae	0	0	0	0	0	0	3156	0	0	0	0	0	0	0	0	0
OTU199	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	1694	357	0	0	0	227	0	0	0	0	0	0	0	0	0	0
OTU200	r__root;p__Arthropoda;c__Insecta;o__Coleoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU204	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	0	0	39	1312	456	0	0	0	0	0	0	0	0	0	0	0
OTU209	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	2214	303	0	0	0	151	0	0	0	0	0	0	0	0	0	0
OTU211	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae	3636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583
OTU217	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Dolichopodidae	0	0	0	1100	0	0	0	0	0	0	0	0	0	60	0	301
OTU222	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU224	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Arctiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4090
OTU227	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	1536	0	0	0	0	0	0	0	0	0	503
